pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-143 c,Kepler-143,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,27.082511,0.000169,-0.000169,0,0.181,,,0,3.37,0.84,-0.84,0,0.301,0.075,-0.075,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5848,168,-168,0,1.36,0.32,-0.32,0,,,,,,,,,,4.2,0.17,-0.17,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h52m16.24s,298.0676519,+49d24m45.15s,49.412541,809.467,11.2115,-11.2115,13.882,0.08,-0.08,12.223,0.025,-0.025,13.7057,0.000236,-0.000236,5/14/14,2014-03,5/14/14
Kepler-1430 b,Kepler-1430,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.46050993,0.00001273,-0.00001273,0,,,,,1.18,0.09,-0.08,0,0.105,0.008,-0.007,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4796,46.68,-59.94,0,0.72,0.02,-0.04,0,0.77,0.04,-0.05,0,-0.03,0.201,-0.178,0,[Fe/H],4.62,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m47.41s,289.6975391,+43d22m19.05s,43.3719581,875.523,,,15.567,0.172,-0.172,12.932,0.023,-0.023,15.2824,0.001708,-0.001708,5/6/16,2016-05,5/10/16
Kepler-1431 b,Kepler-1431,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,5.86601526,0.00004724,-0.00004724,0,,,,,1.47,0.42,-0.16,0,0.131,0.037,-0.014,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5806,77.08,-100.35,0,1.03,0.29,-0.1,0,1.03,0.06,-0.05,0,0.07,0.139,-0.141,0,[Fe/H],4.42,0.07,-0.2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m38.01s,292.6583919,+49d51m54.55s,49.8651522,1623.24,61.425,-61.425,15.4,0.149,-0.149,13.756,0.06,-0.06,15.2711,0.000385,-0.000385,5/6/16,2016-05,5/10/16
Kepler-1432 b,Kepler-1432,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,23.9109011,0.0002703,-0.0002703,0,,,,,2.22,0.69,-0.3,0,0.198,0.062,-0.027,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6031,121.96,-137.46,0,1.13,0.29,-0.13,0,1.09,0.09,-0.07,0,0.02,0.134,-0.15,0,[Fe/H],4.37,0.09,-0.17,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m05.78s,295.5241011,+49d49m46.28s,49.8295211,2171.87,153.12,-134.59,15.594,0.172,-0.172,13.97,0.061,-0.061,15.3702,0.000362,-0.000362,5/6/16,2016-05,5/10/16
Kepler-1433 b,Kepler-1433,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.13592271,0.00002888,-0.00002888,0,,,,,1.56,0.45,-0.18,0,0.139,0.04,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6097,97.58,-116.39,0,1.19,0.33,-0.13,0,1.14,0.11,-0.07,0,0.07,0.14,-0.138,0,[Fe/H],4.34,0.08,-0.17,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h09m27.23s,287.3634559,+49d27m24.71s,49.4568649,,,,15.051,0.252,-0.252,13.492,0.036,-0.036,,,,5/6/16,2016-05,5/10/16
Kepler-1434 b,Kepler-1434,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.05333618,0.00008907,-0.00008907,0,,,,,1.11,0.21,-0.2,0,0.099,0.019,-0.018,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6291,88.58,-88.27,0,2.04,0.37,-0.34,0,1.47,0.13,-0.12,0,0.19,0.091,-0.094,0,[Fe/H],3.98,0.12,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m09.23s,295.5384415,+51d12m10.80s,51.2030002,775.529,14.697,-14.17,12.198,0.057,-0.057,10.819,0.017,-0.017,12.0421,0.000156,-0.000156,5/6/16,2016-05,5/10/16
Kepler-1435 b,Kepler-1435,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,4.45343281,0.00003591,-0.00003591,0,,,,,0.86,0.12,-0.09,0,0.077,0.011,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6356,74.81,-65.48,0,1.32,0.18,-0.11,0,1.21,0.06,-0.06,0,-0.03,0.088,-0.097,0,[Fe/H],4.28,0.07,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m41.59s,291.1732806,+44d55m15.90s,44.9210836,704.211,9.427,-9.186,12.984,0.114,-0.114,11.729,0.014,-0.014,12.8692,0.000284,-0.000284,5/6/16,2016-05,5/10/16
Kepler-1436 b,Kepler-1436,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,9.705716,0.0001638,-0.0001638,0,,,,,1.31,0.35,-0.18,0,0.117,0.031,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5972,141.9,-172.48,0,1.09,0.29,-0.14,0,1.06,0.08,-0.08,0,-0.01,0.132,-0.179,0,[Fe/H],4.39,0.09,-0.18,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m50.77s,297.711553,+46d46m04.73s,46.7679816,2530.62,141.63,-127.63,15.119,0.115,-0.115,13.358,0.034,-0.034,14.9099,0.000321,-0.000321,5/6/16,2016-05,5/10/16
Kepler-1437 b,Kepler-1437,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.9295461,0.0001172,-0.0001172,0,,,,,1.37,0.17,-0.13,0,0.122,0.015,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5557,78.69,-80.38,0,0.9,0.11,-0.06,0,0.93,0.04,-0.05,0,-0.02,0.142,-0.167,0,[Fe/H],4.51,0.04,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m27.58s,291.8649164,+49d19m33.13s,49.325869,2101.69,297.13,-233.75,15.701,0.183,-0.183,13.917,0.066,-0.066,15.6607,0.002122,-0.002122,5/6/16,2016-05,5/10/16
Kepler-1438 b,Kepler-1438,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.31942009,0.00001702,-0.00001702,0,,,,,0.94,0.19,-0.1,0,0.084,0.017,-0.009,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5530,56.64,-67.02,0,0.96,0.19,-0.07,0,0.97,0.05,-0.05,0,0.2,0.134,-0.175,0,[Fe/H],4.46,0.07,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m09.56s,289.289819,+40d40m53.85s,40.6816262,1154.13,63.8,-57.56,14.983,0.217,-0.217,13.136,0.041,-0.041,14.861,0.000378,-0.000378,5/6/16,2016-05,5/10/16
Kepler-1439 b,Kepler-1439,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,8.07392849,0.00004784,-0.00004784,0,,,,,1.46,0.14,-0.21,0,0.13,0.012,-0.019,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,3578,54.92,-51.71,0,0.43,0.04,-0.05,0,0.46,0.04,-0.06,0,-0.03,0.112,-0.126,0,[Fe/H],4.83,0.05,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m57.53s,285.7396971,+40d58m47.53s,40.9798688,225.393,2.528,-2.472,17.0484,0.0461,-0.0461,12.744,0.026,-0.026,16.0979,0.00075,-0.00075,5/6/16,2016-05,5/10/16
Kepler-144 b,Kepler-144,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,5.885273,0.00002,-0.00002,0,0.066,,,0,1.33,0.26,-0.26,0,0.119,0.023,-0.023,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075,131,-131,0,1.24,0.24,-0.24,0,,,,,,,,,,4.29,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h47m39.75s,281.9156128,+42d46m31.99s,42.7755535,384.917,3.263,-3.21,12.195,0.027,-0.027,10.792,0.011,-0.011,11.9438,0.000201,-0.000201,5/14/14,2014-03,5/14/14
Kepler-144 c,Kepler-144,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,10.104665,0.000043,-0.000043,0,0.094,,,0,1.35,0.26,-0.26,0,0.12,0.023,-0.023,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,6075,131,-131,0,1.24,0.24,-0.24,0,,,,,,,,,,4.29,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h47m39.75s,281.9156128,+42d46m31.99s,42.7755535,384.917,3.263,-3.21,12.195,0.027,-0.027,10.792,0.011,-0.011,11.9438,0.000201,-0.000201,5/14/14,2014-03,5/14/14
Kepler-1440 b,Kepler-1440,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,39.859484,0.001034,-0.001034,0,,,,,1.26,0.23,-0.14,0,0.112,0.021,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5698,66.72,-68.65,0,0.96,0.17,-0.07,0,0.98,0.04,-0.05,0,0.04,0.137,-0.171,0,[Fe/H],4.46,0.06,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m23.27s,285.3469737,+48d18m44.02s,48.3122283,1115.35,24.33,-23.33,14.24,0.183,-0.183,12.561,0.025,-0.025,14.1018,0.000235,-0.000235,5/6/16,2016-05,5/10/16
Kepler-1441 b,Kepler-1441,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,39.4419839,0.0005327,-0.0005327,0,,,,,1.31,0.22,-0.13,0,0.117,0.02,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5802,122.74,-150.6,0,1,0.16,-0.09,0,1,0.06,-0.06,0,0.01,0.145,-0.166,0,[Fe/H],4.45,0.07,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h34m52.59s,293.7191177,+43d07m28.47s,43.1245756,1110.48,22.555,-22.555,14.29,0.115,-0.115,12.688,0.034,-0.034,14.2567,0.000257,-0.000257,5/6/16,2016-05,5/10/16
Kepler-1442 b,Kepler-1442,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,81.4162941,0.0002026,-0.0002026,0,,,,,3.93,0.41,-0.29,0,0.351,0.037,-0.026,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6394,77,-77.61,0,1.44,0.13,-0.1,0,1.34,0.05,-0.05,0,0.26,0.075,-0.084,0,[Fe/H],4.25,0.05,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m01.35s,291.2556226,+48d50m48.90s,48.8469171,608.68,9.446,-9.166,12.114,0.057,-0.057,10.967,0.021,-0.021,12.0303,0.000208,-0.000208,5/6/16,2016-05,5/10/16
Kepler-1443 b,Kepler-1443,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2.41811321,0.00001443,-0.00001443,0,,,,,0.97,0.22,-0.09,0,0.087,0.02,-0.008,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6289,83.36,-68.31,0,1.27,0.12,-0.09,0,1.19,0.05,-0.05,0,0,0.077,-0.08,0,[Fe/H],4.3,0.06,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h53m44.58s,283.4357392,+47d04m00.47s,47.0667983,593.646,21.954,-20.468,12.313,0.08,-0.08,11.021,0.018,-0.018,12.212,0.000211,-0.000211,5/6/16,2016-05,5/10/16
Kepler-1444 b,Kepler-1444,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,33.42035034,0.00009305,-0.00009305,0,,,,,2.18,0.41,-0.19,0,0.194,0.037,-0.017,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5810,85.52,-70.49,0,1.05,0.12,-0.08,0,1.03,0.04,-0.04,0,0.06,0.1,-0.087,0,[Fe/H],4.4,0.07,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m19.36s,285.3306799,+42d02m25.81s,42.0405016,319.675,2.136,-2.108,12.363,0.069,-0.069,10.813,0.017,-0.017,12.2578,0.000642,-0.000642,5/6/16,2016-05,5/10/16
Kepler-1445 b,Kepler-1445,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,10.60052251,0.00009265,-0.00009265,0,,,,,0.96,0.2,-0.13,0,0.086,0.018,-0.012,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,6150,71.3,-60.88,0,1.26,0.26,-0.15,0,1.13,0.07,-0.06,0,-0.03,0.084,-0.111,0,[Fe/H],4.28,0.11,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h40m59.88s,280.2495197,+43d54m54.24s,43.9150665,506.357,6.704,-6.534,12.407,0.057,-0.057,11.114,0.024,-0.024,12.4184,0.000252,-0.000252,5/6/16,2016-05,5/10/16
Kepler-1446 b,Kepler-1446,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0.68996783,0.0000005,-0.0000005,0,,,,,0.82,0.04,-0.02,0,0.073,0.004,-0.002,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,4865,43.69,-52.46,0,0.75,0.01,-0.01,0,0.81,0.02,-0.02,0,0.11,0.102,-0.097,0,[Fe/H],4.6,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m41.77s,289.4240357,+46d43m33.90s,46.7260823,152.075,0.677,-0.671,12.595,0.046,-0.046,10.204,0.014,-0.014,12.4086,0.000756,-0.000756,5/6/16,2016-05,5/10/16
Kepler-1447 b,Kepler-1447,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,56.6747285,0.0003978,-0.0003978,0,,,,,2.9,0.5,-0.24,0,0.259,0.045,-0.021,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5722,108.69,-88.46,0,0.95,0.16,-0.07,0,0.97,0.05,-0.06,0,-0.03,0.13,-0.183,0,[Fe/H],4.47,0.06,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h18m34.42s,289.6434285,+50d43m37.26s,50.727016,890.296,17.333,-16.695,14.747,0.08,-0.08,13.124,0.031,-0.031,14.6643,0.000325,-0.000325,5/6/16,2016-05,5/10/16
Kepler-1448 b,Kepler-1448,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,12.27065865,0.00005885,-0.00005885,0,,,,,1.61,0.21,-0.16,0,0.144,0.019,-0.014,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5774,89.88,-66.69,0,0.93,0.12,-0.08,0,0.95,0.06,-0.07,0,-0.16,0.176,-0.21,0,[Fe/H],4.49,0.05,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m28.18s,287.8674123,+50d35m44.10s,50.5955846,768.903,10.2315,-10.2315,14.592,0.115,-0.115,12.932,0.034,-0.034,14.3796,0.000293,-0.000293,5/6/16,2016-05,5/10/16
Kepler-1449 b,Kepler-1449,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,13.2274528,0.0001447,-0.0001447,0,,,,,1.68,0.37,-0.18,0,0.15,0.033,-0.016,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5979,98.77,-97.37,0,1.1,0.23,-0.11,0,1.08,0.07,-0.06,0,0.04,0.143,-0.169,0,[Fe/H],4.39,0.08,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h12m55.62s,288.2317293,+50d34m04.20s,50.5678345,2006.48,85.68,-79.07,15.142,0.206,-0.206,13.64,0.042,-0.042,15.0306,0.00036,-0.00036,5/6/16,2016-05,5/10/16
Kepler-145 b,Kepler-145,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,22.951,,,0,,,,,2.65,0.08,-0.08,0,0.236,0.007,-0.007,0,37.1,11.6,-11.6,0,0.117,0.036,-0.036,0,Mass,,,,,,,,,,,,,1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.85,0.05,-0.05,0,1.32,0.1,-0.1,0,,,,,,4.02,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m33.06s,291.3877397,+44d31m44.57s,44.5290465,566.85,8.385,-8.148,11.977,0.034,-0.034,10.628,0.016,-0.016,11.8746,0.000209,-0.000209,5/14/14,2014-02,5/14/14
Kepler-145 c,Kepler-145,1,1,2,Transit,2013,Kepler,Published Confirmed,0,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,42.882,,,0,,,,,4.32,0.12,-0.12,0,0.385,0.011,-0.011,0,79.4,16.4,-16.4,0,0.25,0.052,-0.052,0,Mass,,,,,,,,,,,,,1,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,,,,,,1.85,0.05,-0.05,0,1.32,0.1,-0.1,0,,,,,,4.02,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h25m33.06s,291.3877397,+44d31m44.57s,44.5290465,566.85,8.385,-8.148,11.977,0.034,-0.034,10.628,0.016,-0.016,11.8746,0.000209,-0.000209,5/14/14,2014-02,5/14/14
